zipcode,numPeople
06824,38
92660,30
92679,28
92646,28
06880,26
92677,25
06877,24
06820,24
06840,24
92648,24
20817,24
92692,23
11215,23
92656,22
94941,18
92673,18
20895,18
92630,17
92694,16
20816,16
20854,16
19355,15
10025,15
98110,14
92627,14
19380,14
19335,14
20878,14
01810,13
20853,13
10583,13
10543,13
92651,12
95762,12
94904,12
10023,12
20176,12
11217,12
92649,11
98072,11
95403,11
92688,11
10028,11
20832,11
10570,11
10573,11
06897,10
07042,10
06831,10
92626,10
94901,10
92886,10
94025,10
20815,10
10016,10
19087,10
06611,9
06825,9
08701,9
06470,9
92705,9
98029,9
95765,9
94566,9
92867,9
92675,9
19425,9
10128,9
20814,9
06850,8
07024,8
06804,8
07928,8
06830,8
02806,8
06405,8
06851,8
91709,8
94930,8
92780,8
94949,8
92647,8
92130,8
92602,8
92683,8
28173,8
10956,8
10514,8
20147,8
20016,8
10024,8
10013,8
11731,8
11743,8
06890,7
06903,7
07901,7
02050,7
08691,7
07450,7
07656,7
06614,7
98033,7
90815,7
90703,7
95476,7
10003,7
20912,7
22182,7
19038,7
20850,7
19083,7
20902,7
10011,7
10901,7
10522,7
10580,7
18901,7
06708,6
07006,6
06883,6
06033,6
07090,6
06410,6
06854,6
06460,6
06902,6
06484,6
07052,6
06514,6
07920,6
08816,6
08550,6
97229,6
98038,6
94928,6
90804,6
92604,6
92663,6
98004,6
95472,6
92009,6
98258,6
90602,6
92336,6
92657,6
92592,6
92691,6
85255,6
90272,6
19086,6
20876,6
19333,6
10022,6
20910,6
20155,6
10538,6
20171,6
19343,6
19002,6
22101,6
06907,5
07945,5
07728,5
06107,5
08053,5
06415,5
07642,5
06468,5
06716,5
98926,5
07960,5
06482,5
02835,5
06488,5
07110,5
08055,5
07726,5
02421,5
06525,5
06756,5
92708,5
92064,5
94945,5
94960,5
92629,5
92617,5
98177,5
92869,5
98332,5
92870,5
98036,5
92618,5
90604,5
92620,5
98117,5
92625,5
98229,5
92037,5
92203,5
98012,5
94024,5
27613,5
90254,5
59718,5
90277,5
33496,5
72956,5
34210,5
90046,5
34211,5
37215,5
90274,5
21230,5
11763,5
11210,5
18902,5
11768,5
10590,5
10536,5
20191,5
11746,5
10598,5
11764,5
11721,5
11779,5
10021,5
20008,5
10952,5
11201,5
19301,5
20841,5
13323,5
15068,5
18914,5
04042,4
07869,4
01960,4
06477,4
07043,4
01833,4
07410,4
02176,4
98661,4
06057,4
07940,4
02648,4
03833,4
06870,4
02332,4
02832,4
07470,4
06896,4
07675,4
06489,4
06111,4
06492,4
06001,4
03110,4
02474,4
07028,4
08022,4
06811,4
06026,4
99352,4
06516,4
08840,4
06524,4
06801,4
95073,4
93720,4
98045,4
92532,4
94588,4
92596,4
96734,4
90742,4
93446,4
92603,4
94070,4
90744,4
95014,4
92606,4
95616,4
92614,4
92223,4
92624,4
92808,4
90808,4
93555,4
91030,4
92011,4
91105,4
98136,4
92653,4
90603,4
91355,4
95023,4
92661,4
95407,4
92672,4
92201,4
91722,4
97405,4
92704,4
92234,4
92782,4
98052,4
92806,4
92374,4
80026,4
48910,4
30030,4
33458,4
90501,4
33558,4
80130,4
28277,4
90250,4
48138,4
90505,4
22304,4
20723,4
20012,4
12737,4
21014,4
10960,4
20003,4
11105,4
20148,4
19004,4
20901,4
11205,4
22015,4
19067,4
19460,4
10471,4
11375,4
11218,4
20136,4
11223,4
11598,4
19341,4
10026,4
19363,4
10803,4
11238,4
11946,4
19382,4
12550,4
11367,4
22602,4
19426,4
20151,4
08731,3
01748,3
06019,3
92651-1273,3
06787,3
06807,3
01950,3
01969,3
07853,3
06812,3
06074,3
99336,3
06790,3
02702,3
06798,3
99709,3
07716,3
01020,3
07748,3
06357,3
06032,3
06359,3
06612,3
98685,3
06085,3
01106,3
08520,3
02038,3
01773,3
01225,3
06791,3
02132,3
08889,3
06419,3
07701,3
06437,3
07719,3
02874,3
02446,3
01730,3
07760,3
03079,3
07866,3
07045,3
01880,3
01915,3
07936,3
03246,3
02492,3
03431,3
08012,3
02330,3
06776,3
07424,3
08080,3
07430,3
08527,3
07456,3
01760,3
07458,3
08724,3
07463,3
08742,3
01945,3
08831,3
07506,3
08867,3
04107,3
11220-0,3
07645,3
01776,3
90620,3
97062,3
90807,3
92658,3
98027,3
93561,3
95125,3
93619,3
92131,3
92584,3
97701,3
93933,3
98056,3
98513,3
95062,3
91367,3
95401,3
90814,3
92821,3
94116,3
92878,3
98115,3
90720,3
91710,3
93065,3
98221,3
93312,3
92506,3
98074,3
98370,3
95037,3
98501,3
91108,3
94549,3
95301,3
94583,3
92127,3
90630,3
90715,3
94602,3
95628,3
94605,3
92861,3
94706,3
96791,3
94806,3
97225,3
92028,3
93004,3
94903,3
98006,3
91739,3
98021,3
94920,3
93245,3
92109,3
93422,3
94947,3
98065,3
94957,3
92612,3
90803,3
94121,3
98199,3
92014,3
98226,3
94506,3
98335,3
94513,3
98391,3
94526,3
94547,3
94925,3
29483,3
85143,3
80487,3
38138,3
27540,3
27408,3
27410,3
32082,3
85050,3
32653,3
85268,3
48439,3
30068,3
32789,3
78660,3
30327,3
30506,3
29464,3
80538,3
30319,3
85083,3
60091,3
29588,3
60093,3
90035,3
60521,3
27357,3
63026,3
27614,3
63376,3
43065,3
48009,3
55804,3
18944,3
10533,3
20874,3
19047,3
21703,3
19444,3
20851,3
19066,3
11228,3
19468,3
11229,3
19703,3
22030,3
27106,3
23113,3
10567,3
11747,3
20011,3
10604,3
10463,3
20905,3
11415,3
19342,3
20036,3
21403,3
20120,3
21911,3
20121,3
11963,3
10029,3
22556,3
11423,3
10019,3
11050,3
20852,3
12570,3
11753,3
11516,3
11754,3
11530,3
10708,3
20175,3
23238,3
11566,3
20906,3
20180,3
11790,3
20187,3
21158,3
19312,3
21401,3
20711,3
21701,3
19317,3
21901,3
20781,3
11233,3
11703,3
22031,3
11720,3
22181,3
10473,3
10314,3
15044,3
10012,3
11733,3
17545,3
10520,3
18436,3
08753,2
07933,2
06478,2
06810,2
08109,2
05446,2
02879,2
02382,2
03038,2
99323,2
98942,2
06010,2
08690,2
01913,2
02375,2
01852,2
06473,2
01002,2
06479,2
02458,2
01746,2
01040,2
07946,2
01062,2
06615,2
06853,2
06751,2
02462,2
03842,2
06035,2
08833,2
01077,2
05401,2
01085,2
02882,2
06040,2
02892,2
02465,2
07738,2
06070,2
07821,2
06073,2
02169,2
06897-1616,2
01944,2
02021,2
06517,2
01545,2
08003,2
06906,2
99103,2
06078,2
08094,2
07005,2
01890,2
02482,2
08619,2
07012,2
06755,2
01569,2
08736,2
06098,2
08827,2
07031,2
04062,2
07039,2
05037,2
07040,2
02152,2
01929,2
07704,2
02493,2
07717,2
06117,2
07722,2
06250,2
07726-2112,2
07055,2
07731,2
07083,2
07746,2
07086,2
02919,2
02535,2
07828,2
02048,2
02155,2
07401,2
07874,2
06385,2
03229,2
07417,2
07932,2
07423,2
03301,2
98665,2
03304,2
02771,2
01778,2
07436,2
06610,2
07438,2
03574,2
07442,2
08062,2
07446,2
08086,2
01741,2
08107,2
07452,2
03782,2
98675,2
08540,2
02131,2
08558,2
06424,2
08648,2
01930,2
06754,2
07480,2
08720,2
98604,2
06770,2
07628,2
03904,2
07631,2
03909,2
06450,2
04030,2
06457,2
02339,2
07647,2
08876,2
07648,2
08901,2
01742,2
45242-6701,2
07666,2
07670,2
99163,2
06447,2
98252,2
92253,2
97267,2
94563,2
98107,2
92024,2
94558,2
94582,2
94065,2
90662,2
98058,2
91607,2
98155,2
94591,2
92517,2
92879,2
97221,2
92881,2
97702,2
92010,2
94112,2
92981,2
91301,2
93003,2
98077,2
91708,2
98116,2
93023,2
94523,2
93036,2
98290,2
92530,2
94551,2
90710,2
97206,2
92075,2
94019,2
92081,2
97477,2
93041,2
92211,2
93060,2
91360,2
92118,2
98031,2
94952,2
92307,2
94954,2
98053,2
93063,2
90732,2
92122,2
98105,2
94965,2
92365,2
95010,2
98121,2
90631,2
91423,2
93111,2
92503,2
95030,2
98274,2
95032,2
98312,2
93221,2
91789,2
92610,2
94553,2
95070,2
98503,2
93265,2
97219,2
95076,2
97222,2
95117,2
91761,2
93277,2
91775,2
95129,2
94040,2
95222,2
98002,2
93309,2
98005,2
95391,2
98008,2
91354,2
94109,2
90740,2
94115,2
91741,2
98032,2
92129,2
92260,2
91745,2
98042,2
95482,2
94118,2
92701,2
92807,2
95618,2
94122,2
93611,2
91302,2
95630,2
98103,2
95688,2
98106,2
95746,2
98109,2
91024,2
94127,2
91752,2
94404,2
95812,2
91350,2
95928,2
92399,2
95991,2
98208,2
95993,2
92866,2
96001,2
98249,2
96161,2
91784,2
96701,2
98275,2
93722,2
98296,2
93901,2
98321,2
97006,2
98333,2
97008,2
98367,2
97060,2
98374,2
92706,2
98422,2
97132,2
98502,2
97140,2
94559,2
97202,2
94123,2
83001,2
76107,2
89509,2
28211,2
33179,2
45244,2
30040,2
46033,2
90266,2
46205,2
33146,2
47978,2
33478,2
30075,2
29928,2
30094,2
85308,2
48320,2
90068,2
48393,2
90278,2
27604,2
77381,2
48854,2
33156,2
27699,2
29715,2
49456,2
80863,2
52040,2
85018,2
53154,2
85142,2
55317,2
85282,2
27705,2
87031,2
28117,2
37174,2
32174,2
30062,2
60076,2
38843,2
32439,2
43015,2
29607,2
76244,2
60124,2
78248,2
60148,2
80016,2
60302,2
80111,2
32751,2
80134,2
60525,2
80504,2
60540,2
80549,2
60564,2
82426,2
60657,2
84060,2
60714,2
85021,2
29708,2
30024,2
63122,2
27516,2
32837,2
34240,2
67052,2
85297,2
68818,2
85383,2
70503,2
89031,2
71106,2
34748,2
72227,2
90049,2
33130,2
90212,2
74106,2
37934,2
75002,2
30064,2
75028,2
40014,2
75043,2
90280,2
76034,2
76092,2
90601,2
22312,2
20770,2
11225,2
10606,2
21209,2
11769,2
27012,2
11780,2
20152,2
11783,2
21042,2
11787,2
22043,2
11789,2
19406,2
11791,2
19709,2
11795,2
11231,2
11804,2
20640,2
11930,2
20869,2
10001,2
21111,2
11958,2
21801,2
11978,2
10591,2
12047,2
22851,2
12054,2
23454,2
12204,2
19530,2
12303,2
11222,2
12524,2
10030,2
12545,2
10033,2
12566,2
20170,2
10801,2
20721,2
12603,2
10566,2
12804,2
20896,2
13032,2
21050,2
13092,2
21114,2
13126,2
10579,2
13850,2
10589,2
14222,2
22172,2
14450,2
22207,2
14870,2
22603,2
15317,2
11757,2
16652,2
11213,2
10950,2
25314,2
17601,2
19512,2
18017,2
19707,2
18051,2
19803,2
18618,2
20009,2
18704,2
20015,2
18925,2
11230,2
18940,2
20132,2
18951,2
11357,2
18976,2
20164,2
19001,2
20194,2
19003,2
20707,2
19006,2
20740,2
19026,2
11435,2
19041,2
20833,2
19046,2
20879,2
10986,2
10065,2
19053,2
21044,2
19054,2
21054,2
19064,2
21113,2
19072,2
21161,2
19081,2
21212,2
10993,2
11725,2
19085,2
11729,2
19103,2
22032,2
11010,2
22066,2
19311,2
22180,2
19320,2
22192,2
11040,2
22310,2
19352,2
10597,2
10506,2
22630,2
11209,2
23111,2
19373,2
23221,2
10510,2
10007,2
06441,1
06066,1
07676,1
02346,1
08084,1
06483,1
07626,1
02356,1
01980,1
02360,1
07940-1911,1
01583,1
08542,1
06489 Undo,1
02190,1
02379,1
05403,1
01585,1
07721,1
02420,1
06042,1
01604,1
02045,1
01701,1
06119,1
01720,1
08222,1
06605,1
02139,1
02459,1
01543,1
02461,1
99218,1
99324,1
05084,1
98802,1
07663,1
02466,1
05701,1
06706,1
01970,1
02467,1
07758,1
98837,1
07836,1
02478,1
07878,1
02481,1
06076,1
99362,1
02062,1
99603,1
06232,1
06759,1
06320,1
01754,1
06360,1
01756,1
08561,1
06783,1
01527,1
06784,1
08822,1
06786,1
08848,1
02536,1
10471-2608,1
02537,1
95037-6077,1
02539,1
04422,1
06794,1
07646,1
02540,1
98660,1
02556,1
05461,1
02568,1
05491,1
02632,1
01201,1
99654,1
06018,1
02653,1
07732,1
02664,1
01982,1
01772,1
07762,1
02703,1
07833,1
02726,1
06065,1
02766,1
02043,1
99672,1
07885,1
01775,1
07922,1
02813,1
06084,1
98908,1
06105,1
06851-2210,1
02066,1
99833,1
08033,1
02852,1
06268,1
02860,1
06281,1
02864,1
01464,1
06878,1
08502,1
01801,1
08534,1
06880-4157,1
08551,1
01803,1
08638,1
298489,1
02151,1
01824,1
01534,1
02896,1
08807,1
02916,1
08830,1
852486,1
02180,1
02920,1
06461,1
06905,1
06471,1
01834,1
20815-4808,1
03044,1
77055-4748,1
07001,1
98801,1
07003,1
07627,1
03048,1
99026,1
03049,1
05255,1
07008,1
99027,1
07010,1
07652,1
03053,1
07661,1
07013,1
05452,1
07016,1
05489,1
07022,1
07677,1
01843,1
07702,1
07027,1
01952,1
03106,1
06013,1
07029,1
06016,1
01845,1
98607,1
07032,1
06029,1
07035,1
07733,1
03223,1
07739,1
01851,1
01240,1
983351556,1
02025,1
03249,1
07801,1
07044,1
01373,1
03254,1
07834,1
07047,1
07843,1
01867,1
07860,1
07054,1
06069,1
01876,1
07876,1
07058,1
07882,1
07060,1
06072,1
07065,1
07921,1
07067,1
01451,1
07070,1
01453,1
07072,1
02052,1
07076,1
02061,1
07078,1
07950,1
07079,1
07981,1
07082,1
02110,1
03307,1
08028,1
01876-3142,1
08043,1
03458,1
02124,1
07091,1
06277,1
07106,1
08085,1
07107,1
08087,1
98664,1
02128,1
07307,1
08203,1
03598,1
08226,1
07403,1
08515,1
01886,1
06365,1
03801,1
01518,1
07420,1
06403,1
07421,1
02136,1
07422,1
02138,1
03820,1
06412,1
01010,1
06417,1
03841,1
06423,1
98937,1
08730,1
03865,1
06438,1
01035,1
06443,1
07444,1
01535,1
03906,1
02171,1
01923,1
06451,1
07450-2436,1
08835,1
98642,1
08844,1
98944,1
08859,1
04046,1
08872,1
07461,1
02191,1
01938,1
0None,1
04069,1
02301,1
04097,1
33143-3948,1
07481,1
77018-5229,1
01942,1
01568,1
07508,1
95135-1640,1
07522,1
06480,1
07604,1
91320,1
91107,1
97850,1
94623,1
94541,1
91737,1
97404,1
94707,1
94061,1
91326,1
98112,1
92220,1
91701,1
91344,1
93710,1
92766,1
97532,1
92225,1
98020,1
90712,1
92040,1
92804,1
98092,1
92805,1
98144,1
92236,1
94556,1
91352,1
90701,1
91754,1
91364,1
92270,1
97305,1
92841,1
93924,1
92845,1
97707,1
92277,1
94027,1
92865,1
94043,1
91042,1
98037,1
95008,1
92054,1
92320,1
92067,1
92325,1
94403,1
91765,1
98118,1
92342,1
92106,1
92346,1
92668,1
95035,1
98311,1
92880,1
91214,1
95045,1
98465,1
95060,1
98584,1
92352,1
93657,1
92882,1
91377,1
91766,1
97330,1
92887,1
97448,1
91767,1
97502,1
95118,1
93955,1
95122,1
97801,1
95123,1
92025,1
93001,1
94037,1
95128,1
98022,1
92376,1
94044,1
95134,1
91403,1
95135,1
98039,1
95139,1
94110,1
95215,1
92056,1
92385,1
98070,1
95240,1
92071,1
93021,1
98104,1
95310,1
94501,1
95320,1
94507,1
95336,1
98126,1
95337,1
92104,1
95356,1
94539,1
95361,1
92107,1
95370,1
98270,1
91104,1
98292,1
93030,1
92117,1
92404,1
98366,1
95405,1
90713,1
90731,1
98406,1
95425,1
94597,1
95442,1
91733,1
95450,1
97213,1
91361,1
